state,station,fiscal_year,note,value,station_name,group,subgroup
Alabama,"Tuscaloosa, Alabama",2005,,4904.0,Tuscaloosa,Alabama,Tuscaloosa
Alabama,"Mobile, Alabama",2005,,570.0,Mobile,Alabama,Mobile
Alabama,"Birmingham, Alabama",2005,,16558.0,Birmingham,Alabama,Birmingham
Alabama,"Atmore, Alabama",2005,,115.0,Atmore,Alabama,Atmore
Alabama,"Anniston, Alabama",2005,,2419.0,Anniston,Alabama,Anniston
Arizona,"Yuma, Arizona",2005,,877.0,Yuma,Arizona,Yuma
Arizona,"Winslow, Arizona",2005,,1378.0,Winslow,Arizona,Winslow
Arizona,"Williams Junction, Arizona",2005,,2889.0,Williams Junction,Arizona,Williams Junction
Arizona,"Tucson, Arizona",2005,,6880.0,Tucson,Arizona,Tucson
Arizona,"Maricopa, Arizona",2005,,3023.0,Maricopa,Arizona,Maricopa
Arizona,"Kingman, Arizona",2005,,3142.0,Kingman,Arizona,Kingman
Arizona,"Flagstaff, Arizona",2005,,17370.0,Flagstaff,Arizona,Flagstaff
Arizona,"Benson, Arizona",2005,,537.0,Benson,Arizona,Benson
Arkansas,"Walnut Ridge, Arkansas",2005,,1343.0,Walnut Ridge,Arkansas,Walnut Ridge
Arkansas,"Texarkana, Arkansas",2005,,2983.0,Texarkana,Arkansas,Texarkana
Arkansas,"Malvern, Arkansas",2005,,779.0,Malvern,Arkansas,Malvern
Arkansas,"Little Rock, Arkansas",2005,,7290.0,Little Rock,Arkansas,Little Rock
Arkansas,"Arkadelphia, Arkansas",2005,,481.0,Arkadelphia,Arkansas,Arkadelphia
California,"Wasco, California",2005,,5340.0,Wasco,California,Wasco
California,"Victorville, California",2005,,1848.0,Victorville,California,Victorville
California,"Ventura, California",2005,,16024.0,Ventura,California,Ventura
California,"Van Nuys, California",2005,,30402.0,Van Nuys,California,Van Nuys
California,"Turlock-Denair, California",2005,,6579.0,Turlock-Denair,California,Turlock-Denair
California,"Truckee, California",2005,,2949.0,Truckee,California,Truckee
California,"Suisun-Fairfield, California",2005,,56060.0,Suisun-Fairfield,California,Suisun-Fairfield
California,"Stockton (San Joaquin St.), California",2005,,83236.0,Stockton (San Joaquin St.),California,Stockton (San Joaquin St.)
California,"Stockton (Downtown), California",2005,,6740.0,Stockton (Downtown),California,Stockton (Downtown)
California,"Solana Beach, California",2005,,206230.0,Solana Beach,California,Solana Beach
California,"Simi Valley, California",2005,,14599.0,Simi Valley,California,Simi Valley
California,"Santa Barbara, California",2005,,111339.0,Santa Barbara,California,Santa Barbara
California,"Santa Ana, California",2005,,85073.0,Santa Ana,California,Santa Ana
California,"San Luis Obispo, California",2005,,37498.0,San Luis Obispo,California,San Luis Obispo
California,"San Juan Capistrano, California",2005,,126214.0,San Juan Capistrano,California,San Juan Capistrano
California,"San Jose, California",2005,,77307.0,San Jose,California,San Jose
California,"San Diego, California",2005,,432248.0,San Diego,California,San Diego
California,"San Diego-Old Town, California",2005,,7852.0,San Diego-Old Town,California,San Diego-Old Town
California,"San Clemente Pier, California",2005,,2534.0,San Clemente Pier,California,San Clemente Pier
California,"San Bernardino, California",2005,,4688.0,San Bernardino,California,San Bernardino
California,"Salinas, California",2005,,6388.0,Salinas,California,Salinas
California,"Sacramento, California",2005,,472450.0,Sacramento,California,Sacramento
California,"Roseville, California",2005,,29334.0,Roseville,California,Roseville
California,"Rocklin, California",2005,,15635.0,Rocklin,California,Rocklin
California,"Riverside, California",2005,,3100.0,Riverside,California,Riverside
California,"Richmond, California",2005,,106821.0,Richmond,California,Richmond
California,"Redding, California",2005,,3153.0,Redding,California,Redding
California,"Pomona, California",2005,,351.0,Pomona,California,Pomona
California,"Paso Robles, California",2005,,2643.0,Paso Robles,California,Paso Robles
California,"Palm Springs, California",2005,,810.0,Palm Springs,California,Palm Springs
California,"Oxnard, California",2005,,34912.0,Oxnard,California,Oxnard
California,"Ontario, California",2005,,1416.0,Ontario,California,Ontario
California,"Oceanside, California",2005,,155251.0,Oceanside,California,Oceanside
California,"Oakland, California",2005,,143147.0,Oakland,California,Oakland
California,"Oakland Coliseum, California",2005,,809.0,Oakland Coliseum,California,Oakland Coliseum
California,"Needles, California",2005,,4581.0,Needles,California,Needles
California,"Moorpark, California",2005,,4595.0,Moorpark,California,Moorpark
California,"Modesto, California",2005,,35883.0,Modesto,California,Modesto
California,"Merced, California",2005,,37641.0,Merced,California,Merced
California,"Martinez, California",2005,,150222.0,Martinez,California,Martinez
California,"Madera, California",2005,,5565.0,Madera,California,Madera
California,"Los Angeles, California",2005,,690068.0,Los Angeles,California,Los Angeles
California,"Lompoc-Surf, California",2005,,2219.0,Lompoc-Surf,California,Lompoc-Surf
California,"Lodi, California",2005,,2851.0,Lodi,California,Lodi
California,"Irvine, California",2005,,281576.0,Irvine,California,Irvine
California,"Hayward, California",2005,,11416.0,Hayward,California,Hayward
California,"Hanford, California",2005,,69588.0,Hanford,California,Hanford
California,"Guadalupe-Santa Maria, California",2005,,3425.0,Guadalupe-Santa Maria,California,Guadalupe-Santa Maria
California,"Grover Beach, California",2005,,6489.0,Grover Beach,California,Grover Beach
California,"Great America (Santa Clara), California",2005,,37275.0,Great America (Santa Clara),California,Great America (Santa Clara)
California,"Goleta, California",2005,,25640.0,Goleta,California,Goleta
California,"Glendale, California",2005,,17342.0,Glendale,California,Glendale
California,"Fullerton, California",2005,,201862.0,Fullerton,California,Fullerton
California,"Fresno, California",2005,,128284.0,Fresno,California,Fresno
California,"Fremont, California",2005,,13772.0,Fremont,California,Fremont
California,"Emeryville, California",2005,,254039.0,Emeryville,California,Emeryville
California,"Dunsmuir, California",2005,,1989.0,Dunsmuir,California,Dunsmuir
California,"Davis, California",2005,,171637.0,Davis,California,Davis
California,"Corcoran, California",2005,,11745.0,Corcoran,California,Corcoran
California,"Colfax, California",2005,,1622.0,Colfax,California,Colfax
California,"Chico, California",2005,,2862.0,Chico,California,Chico
California,"Chatsworth, California",2005,,19828.0,Chatsworth,California,Chatsworth
California,"Carpinteria, California",2005,,7048.0,Carpinteria,California,Carpinteria
California,"Camarillo, California",2005,,9696.0,Camarillo,California,Camarillo
California,"Burbank, California",2005,,14050.0,Burbank,California,Burbank
California,"Berkeley, California",2005,,35444.0,Berkeley,California,Berkeley
California,"Barstow, California",2005,,1380.0,Barstow,California,Barstow
California,"Bakersfield, California",2005,,185089.0,Bakersfield,California,Bakersfield
California,"Auburn, California",2005,,16707.0,Auburn,California,Auburn
California,"Antioch-Pittsburg, California",2005,,9455.0,Antioch-Pittsburg,California,Antioch-Pittsburg
California,"Anaheim, California",2005,,157609.0,Anaheim,California,Anaheim
Colorado,"Winter Park-Fraser, Colorado",2005,,4976.0,Winter Park-Fraser,Colorado,Winter Park-Fraser
Colorado,"Trinidad, Colorado",2005,,2197.0,Trinidad,Colorado,Trinidad
Colorado,"Lamar, Colorado",2005,,1015.0,Lamar,Colorado,Lamar
Colorado,"La Junta, Colorado",2005,,3471.0,La Junta,Colorado,La Junta
Colorado,"Grand Junction, Colorado",2005,,10835.0,Grand Junction,Colorado,Grand Junction
Colorado,"Granby, Colorado",2005,,1371.0,Granby,Colorado,Granby
Colorado,"Glenwood Springs, Colorado",2005,,14986.0,Glenwood Springs,Colorado,Glenwood Springs
Colorado,"Fort Morgan, Colorado",2005,,1450.0,Fort Morgan,Colorado,Fort Morgan
Colorado,"Denver, Colorado",2005,,65194.0,Denver,Colorado,Denver
Connecticut,"Windsor, Connecticut",2005,,4103.0,Windsor,Connecticut,Windsor
Connecticut,"Windsor Locks, Connecticut",2005,,5437.0,Windsor Locks,Connecticut,Windsor Locks
Connecticut,"Wallingford, Connecticut",2005,,5284.0,Wallingford,Connecticut,Wallingford
Connecticut,"Stamford, Connecticut",2005,,141723.0,Stamford,Connecticut,Stamford
