state,station,fiscal_year,note,value,station_name,group,subgroup
Alabama,"Tuscaloosa, Alabama",2010,,12533.0,Tuscaloosa,Alabama,Tuscaloosa
Alabama,"Birmingham, Alabama",2010,,45089.0,Birmingham,Alabama,Birmingham
Alabama,"Anniston, Alabama",2010,,5955.0,Anniston,Alabama,Anniston
Arizona,"Yuma, Arizona",2010,,3676.0,Yuma,Arizona,Yuma
Arizona,"Winslow, Arizona",2010,,5274.0,Winslow,Arizona,Winslow
Arizona,"Williams Junction, Arizona",2010,,7642.0,Williams Junction,Arizona,Williams Junction
Arizona,"Tucson, Arizona",2010,,21095.0,Tucson,Arizona,Tucson
Arizona,"Maricopa, Arizona",2010,,8764.0,Maricopa,Arizona,Maricopa
Arizona,"Kingman, Arizona",2010,,10160.0,Kingman,Arizona,Kingman
Arizona,"Flagstaff, Arizona",2010,,41775.0,Flagstaff,Arizona,Flagstaff
Arizona,"Benson, Arizona",2010,,1091.0,Benson,Arizona,Benson
Arkansas,"Walnut Ridge, Arkansas",2010,,4565.0,Walnut Ridge,Arkansas,Walnut Ridge
Arkansas,"Texarkana, Arkansas",2010,,7867.0,Texarkana,Arkansas,Texarkana
Arkansas,"Malvern, Arkansas",2010,,1833.0,Malvern,Arkansas,Malvern
Arkansas,"Little Rock, Arkansas",2010,,22218.0,Little Rock,Arkansas,Little Rock
Arkansas,"Arkadelphia, Arkansas",2010,,1486.0,Arkadelphia,Arkansas,Arkadelphia
California,"Wasco, California",2010,,18044.0,Wasco,California,Wasco
California,"Victorville, California",2010,,5558.0,Victorville,California,Victorville
California,"Ventura, California",2010,,45385.0,Ventura,California,Ventura
California,"Van Nuys, California",2010,,70551.0,Van Nuys,California,Van Nuys
California,"Turlock-Denair, California",2010,,21668.0,Turlock-Denair,California,Turlock-Denair
California,"Truckee, California",2010,,9139.0,Truckee,California,Truckee
California,"Suisun-Fairfield, California",2010,,171381.0,Suisun-Fairfield,California,Suisun-Fairfield
California,"Stockton (San Joaquin St.), California",2010,,238868.0,Stockton (San Joaquin St.),California,Stockton (San Joaquin St.)
California,"Stockton (Downtown), California",2010,,34188.0,Stockton (Downtown),California,Stockton (Downtown)
California,"Solana Beach, California",2010,,408060.0,Solana Beach,California,Solana Beach
California,"Simi Valley, California",2010,,38946.0,Simi Valley,California,Simi Valley
California,"Santa Barbara, California",2010,,295079.0,Santa Barbara,California,Santa Barbara
California,"Santa Ana, California",2010,,152733.0,Santa Ana,California,Santa Ana
California,"San Luis Obispo, California",2010,,99778.0,San Luis Obispo,California,San Luis Obispo
California,"San Juan Capistrano, California",2010,,223580.0,San Juan Capistrano,California,San Juan Capistrano
California,"San Jose, California",2010,,202512.0,San Jose,California,San Jose
California,"San Diego, California",2010,,715043.0,San Diego,California,San Diego
California,"San Diego-Old Town, California",2010,,21616.0,San Diego-Old Town,California,San Diego-Old Town
California,"San Clemente Pier, California",2010,,9990.0,San Clemente Pier,California,San Clemente Pier
California,"San Bernardino, California",2010,,10080.0,San Bernardino,California,San Bernardino
California,"Salinas, California",2010,,18935.0,Salinas,California,Salinas
California,"Sacramento, California",2010,,1107220.0,Sacramento,California,Sacramento
California,"Roseville, California",2010,,67796.0,Roseville,California,Roseville
California,"Rocklin, California",2010,,34263.0,Rocklin,California,Rocklin
California,"Richmond, California",2010,,271486.0,Richmond,California,Richmond
California,"Redding, California",2010,,10322.0,Redding,California,Redding
California,"Pomona, California",2010,,1523.0,Pomona,California,Pomona
California,"Paso Robles, California",2010,,10372.0,Paso Robles,California,Paso Robles
California,"Palm Springs, California",2010,,6061.0,Palm Springs,California,Palm Springs
California,"Oxnard, California",2010,,74468.0,Oxnard,California,Oxnard
California,"Ontario, California",2010,,4756.0,Ontario,California,Ontario
California,"Oceanside, California",2010,,293012.0,Oceanside,California,Oceanside
California,"Oakland, California",2010,,355128.0,Oakland,California,Oakland
California,"Oakland Coliseum, California",2010,,20785.0,Oakland Coliseum,California,Oakland Coliseum
California,"Needles, California",2010,,9481.0,Needles,California,Needles
California,"Moreno Valley, California",2010,,10806.0,Moreno Valley,California,Moreno Valley
California,"Moorpark, California",2010,,12293.0,Moorpark,California,Moorpark
California,"Modesto, California",2010,,96662.0,Modesto,California,Modesto
California,"Metrolink Station Orange, California 92866",2010,,2439.0,Metrolink Station Orange,California,Metrolink Station Orange
California,"Merced, California",2010,,103505.0,Merced,California,Merced
California,"Martinez, California",2010,,410968.0,Martinez,California,Martinez
California,"Madera, California",2010,,20031.0,Madera,California,Madera
California,"Los Angeles, California",2010,,1517342.0,Los Angeles,California,Los Angeles
California,"Lompoc-Surf, California",2010,,6422.0,Lompoc-Surf,California,Lompoc-Surf
California,"Lodi, California",2010,,7443.0,Lodi,California,Lodi
California,"Laguna Niguel, California",2010,,2644.0,Laguna Niguel,California,Laguna Niguel
California,"Irvine, California",2010,,630190.0,Irvine,California,Irvine
California,"Hayward, California",2010,,29984.0,Hayward,California,Hayward
California,"Hanford, California",2010,,187865.0,Hanford,California,Hanford
California,"Guadalupe-Santa Maria, California",2010,,10018.0,Guadalupe-Santa Maria,California,Guadalupe-Santa Maria
California,"Grover Beach, California",2010,,17944.0,Grover Beach,California,Grover Beach
California,"Great America (Santa Clara), California",2010,,104041.0,Great America (Santa Clara),California,Great America (Santa Clara)
California,"Goleta, California",2010,,59911.0,Goleta,California,Goleta
California,"Glendale, California",2010,,37117.0,Glendale,California,Glendale
California,"Fullerton, California",2010,,411489.0,Fullerton,California,Fullerton
California,"Fresno, California",2010,,352737.0,Fresno,California,Fresno
California,"Fremont, California",2010,,39162.0,Fremont,California,Fremont
California,"Emeryville, California",2010,,529965.0,Emeryville,California,Emeryville
